txn_id,user_id,amount,currency,txn_type,status,timestamp,device,location
002352cb-2250-413e-b7f3-d21a6ac275a0,user_123,1539.82,BTC,transfer,success,2025-07-15 04:46:46,mobile,Abuja
0026438d-b808-4944-8851-0f05bd4c316a,user_140,3807.33,BTC,deposit,success,2025-07-19 14:35:23,web,Lagos
00273512-9dae-47ea-828c-c1efd814c762,user_50,2004.96,NGN,transfer,failed,2025-07-18 21:10:49,web,Tokyo
002cade3-60dc-41e8-b2b2-83d68355097c,user_53,1625.9,USD,deposit,pending,2025-07-21 20:17:43,web,New York
00418519-4834-4005-9ea0-167af76ba3e7,user_145,1364.61,NGN,transfer,success,2025-07-25 13:25:43,web,Tokyo
0063e470-74ad-41c2-82bf-9482b074580a,user_36,3946.6,BTC,transfer,pending,2025-07-12 14:49:47,web,New York
007ea587-e912-46c3-89ec-820057a7886e,user_109,4461.76,USD,transfer,failed,2025-07-06 04:51:19,mobile,Tokyo
0085e3a3-dd60-414f-8e6f-5b3b2c1273b9,user_65,4207.36,BTC,deposit,failed,2025-07-30 02:15:41,web,Berlin
008d2a06-3798-4ef8-b2d8-70ce49fd4090,user_150,3187.71,USD,withdrawal,failed,2025-07-22 18:32:29,web,Berlin
00b195bc-38d0-4dd7-8c60-e3ffe5e19e60,user_94,4218.57,BTC,deposit,failed,2025-07-17 11:51:42,mobile,Berlin
00bf8fdf-b50d-42bb-8fcc-9d92035e307e,user_14,4331.81,USD,transfer,failed,2025-07-18 17:51:40,mobile,Tokyo
00c64128-d690-4731-8d3b-f956eb5ecb3c,user_52,3074.29,NGN,transfer,success,2025-07-06 07:06:26,web,Berlin
00ca05cc-b110-46df-a0ca-327b2756979d,user_53,1754.04,NGN,deposit,success,2025-07-13 04:16:30,mobile,Tokyo
00cfd856-aa9c-4a6f-acc2-28847237f380,user_38,3846.02,NGN,withdrawal,pending,2025-07-06 23:46:44,web,New York
00ebab8e-2798-49a4-a366-c7a96fed0cd5,user_141,17.92,NGN,transfer,pending,2025-07-12 00:45:52,mobile,Berlin
010f2c96-576b-4c94-b314-cf1b93488b6a,user_104,1915.22,NGN,withdrawal,pending,2025-07-20 04:21:32,web,Abuja
0140f153-0022-48f0-9295-7c0bfaf81fe9,user_118,2121.82,USD,deposit,success,2025-07-19 16:59:13,mobile,London
0171cd3d-1200-4dc7-a937-b567fd37b3e6,user_123,1375.28,NGN,deposit,pending,2025-07-24 16:02:11,mobile,Lagos
01b12ed9-5808-4eae-a206-d8cde4a79516,user_161,4697.31,USD,withdrawal,success,2025-07-28 03:21:18,web,Lagos
01d7993c-f933-4c05-a179-54ac337c3ada,user_169,2386.52,BTC,withdrawal,success,2025-07-14 03:15:38,mobile,Berlin
01ef4f49-7fba-4bc8-b16c-6fdc9202b747,user_112,954.18,NGN,transfer,pending,2025-07-12 13:33:23,web,Berlin
0238fcbc-1523-4328-9a19-e911b06534bc,user_96,3148.26,USD,transfer,success,2025-07-01 00:11:02,mobile,Abuja
02489df1-59c1-46d7-a624-983b7bbb98f9,user_177,503.36,BTC,deposit,failed,2025-07-18 06:18:24,mobile,Abuja
0260aa18-1be9-4f1b-894f-6cc13a5539f9,user_156,169.07,NGN,withdrawal,pending,2025-07-03 04:31:06,mobile,Berlin
028565fb-3e59-42e4-a33b-f7215c489fd2,user_3,1406.69,BTC,transfer,success,2025-07-30 09:36:27,mobile,Abuja
02a333e4-b9a9-4e9b-bb6a-0a3910d126d9,user_56,2361.41,BTC,withdrawal,success,2025-07-05 09:33:43,web,Lagos
02b25690-cd3e-44b6-bbfc-ade366e96803,user_125,3402.95,NGN,deposit,success,2025-07-02 05:59:14,web,Lagos
02edd418-e079-4a3e-a28e-3d03ec079833,user_197,1538.09,USD,transfer,pending,2025-07-30 04:16:26,web,Lagos
030caa9f-efc1-4548-b673-fc992f8d4a83,user_44,4292.33,BTC,deposit,pending,2025-07-27 07:49:43,mobile,Tokyo
0326912f-cc18-4f4a-9265-c7a551fc4d72,user_109,2353.14,BTC,transfer,pending,2025-07-01 16:11:53,web,Berlin
0328c3f5-7d26-4d6d-8746-91c8fd3cd7c9,user_8,1549.08,NGN,transfer,success,2025-07-09 12:54:31,web,Berlin
032ce6a9-bd8c-4055-bc47-e6415c7374bc,user_86,4391.67,USD,transfer,failed,2025-07-30 17:24:27,mobile,Abuja
037c3010-2ad8-460e-858c-d706b2d12c0c,user_20,4925.79,USD,deposit,success,2025-07-26 03:33:26,web,Abuja
03a2f831-a0e0-43e7-99dd-5deee4936c3d,user_154,3261.93,NGN,transfer,failed,2025-07-09 20:55:30,web,Tokyo
03cfef59-f0c0-440e-a540-57e083107a32,user_131,425.67,NGN,transfer,success,2025-07-06 06:02:56,web,Tokyo
040e4a95-4c85-40a2-b2c5-56e15c2cdddf,user_31,1080.16,NGN,withdrawal,failed,2025-07-24 16:31:24,mobile,Abuja
0417f3f7-62f3-4988-a78c-e1f83219c81c,user_161,1652.85,BTC,deposit,pending,2025-07-16 14:30:23,web,London
04529f89-34f6-4c7e-a183-c55972d3f24a,user_12,2191.6,USD,transfer,pending,2025-07-30 02:06:58,mobile,New York
04816841-e7e1-452b-be8e-4bb3c34b420c,user_188,2842.39,BTC,deposit,pending,2025-07-22 14:56:38,mobile,Abuja
0485d38b-000e-4234-b3da-ac86031832df,user_100,1483.84,USD,transfer,success,2025-07-09 12:47:59,mobile,Tokyo
0492243d-40e4-484c-9c44-d212e1ebfec3,user_43,4413.56,NGN,deposit,pending,2025-07-28 19:59:45,web,Tokyo
04bf2c0e-daa2-4bb1-9304-cdacf628881e,user_120,617.42,NGN,deposit,pending,2025-07-19 13:05:45,web,Lagos
04cf168f-b2a1-4afa-b7cb-a9e2e05b01a8,user_20,2741.96,BTC,transfer,success,2025-07-09 14:18:11,web,Berlin
04e0b427-8628-48d4-bd36-3f8650cb70a4,user_34,3323.82,NGN,deposit,success,2025-07-19 16:26:13,mobile,Abuja
04ea09b1-7169-46d3-ab2f-1baecb1708a6,user_76,3930.58,BTC,transfer,success,2025-07-15 12:32:42,mobile,London
04ef88b1-5825-49a0-9440-5a7edc63aabe,user_67,4863.79,BTC,transfer,failed,2025-07-01 17:40:18,mobile,London
04f11217-59e9-4de9-8c32-6b206d436443,user_75,3799.0,USD,transfer,failed,2025-07-26 16:48:26,web,New York
05063c45-15b2-4d27-b4ac-9087b3649e71,user_56,2915.31,NGN,transfer,success,2025-07-01 18:28:44,mobile,Tokyo
053e285c-08d2-4f97-b1e9-81d8bda329ef,user_183,4336.06,USD,withdrawal,success,2025-07-09 16:06:41,mobile,Tokyo
0577098a-7d5c-4b28-85c6-5f2f4048304e,user_19,1543.39,USD,transfer,pending,2025-07-15 06:47:30,web,Abuja
057d5acd-cf21-4788-82c2-e1174303fbcb,user_15,1232.76,USD,withdrawal,pending,2025-07-16 07:34:41,mobile,Abuja
05895c01-b4cd-4438-8cbb-b901226bc517,user_149,3087.23,BTC,deposit,success,2025-07-24 16:05:09,mobile,London
059a5a9a-5c00-4275-94db-29573277b0f5,user_32,4423.54,BTC,transfer,failed,2025-07-28 01:32:40,mobile,Berlin
05a26bb2-f9e3-496e-b9b5-9830f66d07bf,user_39,3108.2,BTC,withdrawal,pending,2025-07-09 10:42:39,mobile,Abuja
05bc4170-e263-4780-bd85-d0ccb16503d2,user_73,4215.3,BTC,transfer,success,2025-07-11 18:53:31,web,New York
05bd41a5-4916-4636-9014-a034293bff25,user_149,3530.1,USD,transfer,success,2025-07-30 15:06:58,web,London
05d3f0af-6963-413b-85ed-fc5b2e65224c,user_192,2266.35,BTC,deposit,success,2025-07-30 06:40:40,web,New York
05ec108a-8959-4848-ae2a-3a461811cdd4,user_44,229.97,NGN,deposit,failed,2025-07-01 14:46:16,mobile,New York
05f7bc29-c37c-495c-9870-ce9ab0e60cab,user_91,4176.97,USD,transfer,failed,2025-07-29 11:26:10,mobile,Berlin
06081bd4-a233-4c22-94f0-54c69e02b825,user_57,4379.06,USD,withdrawal,success,2025-07-18 13:39:51,mobile,Berlin
06212532-96b2-41a8-9eb9-b83c718c3364,user_91,784.89,USD,transfer,success,2025-07-25 05:25:29,mobile,Tokyo
